annotator_id,n_annotated_texts,annotator_severity,annotator_severity_quantile,extreme_annotator_severity_quantile,extreme_annotator
314,13,-0.29,0.30035231943628893,0.9,False
317,17,0.01,0.5167351732237229,0.9,False
323,16,-0.21,0.3637698179682913,0.9,False
325,18,-0.49,0.18056371109806224,0.9,False
328,14,-0.69,0.09453904873752202,0.9,False
332,12,-0.08,0.455079271873165,0.9,False
337,17,0.07,0.5616559013505579,0.9,False
344,10,-0.65,0.10833822665883734,0.9,False
346,10,0.17,0.6362301820317088,0.9,False
351,17,0.61,0.8910745742806812,0.9,False
352,15,-0.03,0.48943041691133293,0.9,False
353,14,0.5,0.8376394597768644,0.9,False
362,15,0.14,0.6142102172636523,0.9,False
364,13,0.14,0.6142102172636523,0.9,False
366,12,-0.84,0.04374633000587199,0.9,False
369,10,-0.18,0.38490898414562535,0.9,False
371,16,0.5,0.8376394597768644,0.9,False
375,11,-0.07,0.46271285965942455,0.9,False
379,12,0.16,0.6271285965942455,0.9,False
380,11,0.29,0.715208455666471,0.9,False
383,13,-0.22,0.3537874339401057,0.9,False
388,12,0.44,0.7994715208455666,0.9,False
390,12,-0.13,0.42072812683499705,0.9,False
394,10,-0.31,0.28978273634762186,0.9,False
403,18,-0.73,0.07897827363476219,0.9,False
405,12,-0.51,0.16999412800939517,0.9,False
408,16,-0.17,0.39166177334116264,0.9,False
414,11,-0.83,0.04726952436876101,0.9,False
415,18,0.32,0.729301233118027,0.9,False
419,16,-0.82,0.05079271873165003,0.9,False
424,11,-0.19,0.37815619495008806,0.9,False
426,11,0.43,0.7938931297709924,0.9,False
427,13,-0.5,0.17557251908396945,0.9,False
431,11,0.62,0.8954785672342924,0.9,False
433,17,-1.01,0.0064591896652965355,0.9,False
439,11,0.4,0.776570757486788,0.9,False
441,10,-0.09,0.4459776864357017,0.9,False
446,13,-0.23,0.34674104521432764,0.9,False
449,16,-0.5,0.17557251908396945,0.9,False
451,12,-0.64,0.11274221961244862,0.9,False
456,15,0.42,0.7889019377568995,0.9,False
458,12,-0.17,0.39166177334116264,0.9,False
464,14,-0.78,0.06077510275983558,0.9,False
474,19,0.03,0.5325895478567234,0.9,False
478,12,0.7,0.9210217263652378,0.9,True
479,15,0.44,0.7994715208455666,0.9,False
491,13,0.25,0.6881972988843218,0.9,False
493,10,-0.46,0.19817968291250734,0.9,False
495,11,0.74,0.9354081033470346,0.9,True
506,15,-0.59,0.13006459189665295,0.9,False
516,14,0.5,0.8376394597768644,0.9,False
519,10,0.28,0.7075748678802114,0.9,False
520,11,-0.33,0.27510275983558424,0.9,False
522,13,-0.23,0.34674104521432764,0.9,False
529,10,0.66,0.9048737522019965,0.9,True
533,18,0.76,0.9439224897240165,0.9,True
546,10,0.27,0.6987668819729889,0.9,False
547,13,-1.06,0.002348796241926013,0.9,False
554,13,-0.14,0.4151497357604228,0.9,False
556,12,-0.43,0.21315325895478568,0.9,False
568,12,-0.41,0.22812683499706402,0.9,False
571,12,0.07,0.5616559013505579,0.9,False
572,12,0.16,0.6271285965942455,0.9,False
573,14,0.25,0.6881972988843218,0.9,False
576,10,-0.46,0.19817968291250734,0.9,False
581,11,0.17,0.6362301820317088,0.9,False
582,10,0.19,0.6517909571344686,0.9,False
583,12,0.8,0.9544920728126834,0.9,True
588,12,0.78,0.9486200822078684,0.9,True
592,12,0.95,0.98825601879037,0.9,True
596,11,0.68,0.9139753376394598,0.9,True
601,10,-0.13,0.42072812683499705,0.9,False
602,15,0.38,0.7645331767469172,0.9,False
611,12,-0.18,0.38490898414562535,0.9,False
620,17,0.89,0.9768056371109807,0.9,True
623,11,-0.02,0.4967704051673517,0.9,False
626,16,-0.52,0.16588373458602465,0.9,False
631,14,0.13,0.6077510275983559,0.9,False
638,18,-0.22,0.3537874339401057,0.9,False
639,16,0.4,0.776570757486788,0.9,False
642,11,-0.2,0.3719906048150323,0.9,False
646,14,0.08,0.5684086905460951,0.9,False
648,11,-0.6,0.12566059894304168,0.9,False
656,10,0.03,0.5325895478567234,0.9,False
660,13,0.04,0.5381679389312977,0.9,False
667,11,0.21,0.6644157369348209,0.9,False
669,18,0.01,0.5167351732237229,0.9,False
671,13,0.51,0.8426306517909571,0.9,False
673,10,0.12,0.6012918379330593,0.9,False
674,11,0.37,0.758954785672343,0.9,False
675,11,-0.37,0.2507339988256019,0.9,False
678,15,0.24,0.683206106870229,0.9,False
679,18,0.18,0.6447445684086905,0.9,False
680,17,0.38,0.7645331767469172,0.9,False
682,11,0.18,0.6447445684086905,0.9,False
683,10,-0.01,0.5026423957721667,0.9,False
685,11,-0.11,0.4339401056958309,0.9,False
687,10,-0.23,0.34674104521432764,0.9,False
691,12,-0.25,0.3317674691720493,0.9,False
692,12,-0.34,0.26834997064004695,0.9,False
694,13,0.51,0.8426306517909571,0.9,False
700,11,0.23,0.6770405167351732,0.9,False
701,15,0.03,0.5325895478567234,0.9,False
704,11,-0.01,0.5026423957721667,0.9,False
707,11,-0.67,0.10275983558426306,0.9,False
710,11,-0.31,0.28978273634762186,0.9,False
712,15,0.44,0.7994715208455666,0.9,False
715,16,0.59,0.8831473869641808,0.9,False
721,13,-0.29,0.30035231943628893,0.9,False
724,12,0.9,0.9797416324133882,0.9,True
725,13,-0.02,0.4967704051673517,0.9,False
727,11,0.75,0.940986494421609,0.9,True
730,12,-0.21,0.3637698179682913,0.9,False
738,13,0.57,0.87110980622431,0.9,False
739,12,-0.98,0.009395184967704051,0.9,False
742,13,-0.43,0.21315325895478568,0.9,False
743,16,-0.74,0.07545507927187317,0.9,False
744,14,0.04,0.5381679389312977,0.9,False
756,12,0.3,0.7196124486200822,0.9,False
757,13,0.12,0.6012918379330593,0.9,False
759,14,0.11,0.5939518496770405,0.9,False
764,18,-0.82,0.05079271873165003,0.9,False
765,14,-0.41,0.22812683499706402,0.9,False
766,13,0.46,0.8162066940692895,0.9,False
768,11,0.41,0.7821491485613623,0.9,False
770,19,-0.08,0.455079271873165,0.9,False
773,16,-0.09,0.4459776864357017,0.9,False
774,16,0.36,0.7524955960070464,0.9,False
775,11,0.4,0.776570757486788,0.9,False
777,11,0.73,0.9304169113329419,0.9,True
778,20,-0.33,0.27510275983558424,0.9,False
781,11,-0.48,0.18584850264239577,0.9,False
785,12,0.4,0.776570757486788,0.9,False
787,16,-0.03,0.48943041691133293,0.9,False
788,12,0.05,0.5455079271873166,0.9,False
790,12,0.42,0.7889019377568995,0.9,False
791,11,0.03,0.5325895478567234,0.9,False
792,17,0.29,0.715208455666471,0.9,False
793,13,0.34,0.7392836171462126,0.9,False
805,11,-0.2,0.3719906048150323,0.9,False
810,12,-0.06,0.46917204932472106,0.9,False
816,16,-0.28,0.31004110393423373,0.9,False
819,12,-0.31,0.28978273634762186,0.9,False
822,14,-0.25,0.3317674691720493,0.9,False
829,10,-0.96,0.013799177921315325,0.9,False
833,12,0.57,0.87110980622431,0.9,False
834,14,0.31,0.7225484439224897,0.9,False
836,15,0.63,0.8995889606576629,0.9,False
840,12,0.75,0.940986494421609,0.9,True
847,14,0.09,0.5754550792718731,0.9,False
851,16,-0.37,0.2507339988256019,0.9,False
855,13,-0.87,0.035525543159130944,0.9,False
858,17,0.76,0.9439224897240165,0.9,True
862,12,0.1,0.5842630651790958,0.9,False
864,13,0.21,0.6644157369348209,0.9,False
865,16,0.81,0.9577216676453317,0.9,True
874,12,0.42,0.7889019377568995,0.9,False
875,13,0.46,0.8162066940692895,0.9,False
877,14,-0.43,0.21315325895478568,0.9,False
879,12,-0.52,0.16588373458602465,0.9,False
880,13,-0.55,0.15091015854374634,0.9,False
881,18,0.63,0.8995889606576629,0.9,False
883,13,0.07,0.5616559013505579,0.9,False
885,18,-0.19,0.37815619495008806,0.9,False
888,14,-0.35,0.2627715795654727,0.9,False
889,10,0.15,0.6200822078684675,0.9,False
897,13,-0.34,0.26834997064004695,0.9,False
899,11,0.17,0.6362301820317088,0.9,False
901,13,0.26,0.6943628890193776,0.9,False
903,12,-0.24,0.3376394597768644,0.9,False
904,16,0.42,0.7889019377568995,0.9,False
910,11,-0.02,0.4967704051673517,0.9,False
911,17,-0.24,0.3376394597768644,0.9,False
912,15,-0.15,0.40751614797416325,0.9,False
913,12,0.16,0.6271285965942455,0.9,False
916,11,-0.27,0.31679389312977096,0.9,False
919,10,0.42,0.7889019377568995,0.9,False
922,15,0.9,0.9797416324133882,0.9,True
933,11,-0.03,0.48943041691133293,0.9,False
936,10,-0.31,0.28978273634762186,0.9,False
939,12,0.5,0.8376394597768644,0.9,False
942,10,-0.09,0.4459776864357017,0.9,False
948,13,-0.83,0.04726952436876101,0.9,False
957,17,0.38,0.7645331767469172,0.9,False
958,14,0.54,0.8599530240751615,0.9,False
960,14,-0.19,0.37815619495008806,0.9,False
961,16,0.06,0.5528479154433353,0.9,False
962,14,0.1,0.5842630651790958,0.9,False
964,11,0.37,0.758954785672343,0.9,False
973,13,0.2,0.6576629477392836,0.9,False
982,16,-0.22,0.3537874339401057,0.9,False
984,15,-0.57,0.14004697592483853,0.9,False
985,15,0.59,0.8831473869641808,0.9,False
986,11,-0.58,0.13388138578978273,0.9,False
993,15,-0.23,0.34674104521432764,0.9,False
997,20,0.87,0.9729888432178508,0.9,True
998,14,0.28,0.7075748678802114,0.9,False
1000,11,0.55,0.864063417498532,0.9,False
1003,11,-0.14,0.4151497357604228,0.9,False
1007,10,-0.13,0.42072812683499705,0.9,False
1008,17,0.41,0.7821491485613623,0.9,False
1010,17,-0.32,0.2821491485613623,0.9,False
1011,20,0.62,0.8954785672342924,0.9,False
1019,15,0.29,0.715208455666471,0.9,False
1021,13,-0.35,0.2627715795654727,0.9,False
1027,18,0.93,0.9844392248972401,0.9,True
1032,11,0.44,0.7994715208455666,0.9,False
1033,15,-0.26,0.32560187903699356,0.9,False
1037,12,0.47,0.8206106870229007,0.9,False
1044,12,-0.46,0.19817968291250734,0.9,False
1046,11,0.33,0.7334116265413976,0.9,False
1049,16,-0.26,0.32560187903699356,0.9,False
1056,16,-0.46,0.19817968291250734,0.9,False
1059,15,0.26,0.6943628890193776,0.9,False
1069,11,0.08,0.5684086905460951,0.9,False
1070,20,0.07,0.5616559013505579,0.9,False
1076,14,-0.21,0.3637698179682913,0.9,False
1081,16,-0.52,0.16588373458602465,0.9,False
1082,11,-0.28,0.31004110393423373,0.9,False
1084,10,0.54,0.8599530240751615,0.9,False
1086,10,0.19,0.6517909571344686,0.9,False
1092,13,-0.01,0.5026423957721667,0.9,False
1094,18,-0.56,0.14533176746917206,0.9,False
1095,13,0.94,0.9867880211391662,0.9,True
1097,15,0.23,0.6770405167351732,0.9,False
1101,17,-0.07,0.46271285965942455,0.9,False
1103,13,-0.96,0.013799177921315325,0.9,False
1104,13,0.11,0.5939518496770405,0.9,False
1105,12,0.12,0.6012918379330593,0.9,False
1108,20,0.74,0.9354081033470346,0.9,True
1109,14,-0.65,0.10833822665883734,0.9,False
1112,11,-0.36,0.2571931884908984,0.9,False
1116,10,-0.28,0.31004110393423373,0.9,False
1117,15,-0.93,0.019377568995889608,0.9,False
1127,16,-0.83,0.04726952436876101,0.9,False
1129,16,-0.37,0.2507339988256019,0.9,False
1132,14,0.38,0.7645331767469172,0.9,False
1138,17,-0.25,0.3317674691720493,0.9,False
1139,11,0.58,0.8778625954198473,0.9,False
1140,10,0.09,0.5754550792718731,0.9,False
1142,10,0.42,0.7889019377568995,0.9,False
1144,11,0.89,0.9768056371109807,0.9,True
1145,11,-0.94,0.01790957134468585,0.9,False
1147,12,-0.22,0.3537874339401057,0.9,False
1148,15,0.69,0.9174985320023488,0.9,True
1151,13,0.84,0.9650616559013505,0.9,True
1152,11,0.01,0.5167351732237229,0.9,False
1153,11,0.4,0.776570757486788,0.9,False
1155,16,0.52,0.8496770405167352,0.9,False
1160,10,-0.16,0.3992953611274222,0.9,False
1165,11,0.12,0.6012918379330593,0.9,False
1167,19,-0.38,0.2457428068115091,0.9,False
1168,11,0.07,0.5616559013505579,0.9,False
1169,12,0.74,0.9354081033470346,0.9,True
1170,10,0.49,0.830886670581327,0.9,False
1171,18,0.76,0.9439224897240165,0.9,True
1173,12,0.45,0.8082795067527891,0.9,False
1192,14,0.85,0.9677040516735174,0.9,True
1193,14,-0.03,0.48943041691133293,0.9,False
1202,14,-0.69,0.09453904873752202,0.9,False
1203,10,0.6,0.8875513799177921,0.9,False
1206,12,-0.27,0.31679389312977096,0.9,False
1208,10,-0.44,0.20522607163828538,0.9,False
1217,10,-0.18,0.38490898414562535,0.9,False
1226,16,0.14,0.6142102172636523,0.9,False
1227,12,0.46,0.8162066940692895,0.9,False
1229,10,0.63,0.8995889606576629,0.9,False
1236,12,-0.13,0.42072812683499705,0.9,False
1247,11,-0.16,0.3992953611274222,0.9,False
1251,18,-0.25,0.3317674691720493,0.9,False
1252,16,-0.89,0.028479154433352905,0.9,False
1253,13,-0.11,0.4339401056958309,0.9,False
1254,12,0.34,0.7392836171462126,0.9,False
1256,17,0.11,0.5939518496770405,0.9,False
1257,19,0.5,0.8376394597768644,0.9,False
1260,12,0.13,0.6077510275983559,0.9,False
1267,10,0.61,0.8910745742806812,0.9,False
1275,11,-0.05,0.4750440399295361,0.9,False
1282,16,0.53,0.8543746330005872,0.9,False
1286,15,-0.48,0.18584850264239577,0.9,False
1289,10,-1.08,0.0017615971814445098,0.9,False
1291,15,0.46,0.8162066940692895,0.9,False
1293,14,-0.18,0.38490898414562535,0.9,False
1296,11,0.63,0.8995889606576629,0.9,False
1297,10,-0.11,0.4339401056958309,0.9,False
1300,12,0.18,0.6447445684086905,0.9,False
1301,10,-0.45,0.2014092777451556,0.9,False
1303,15,-0.61,0.12243100411039343,0.9,False
1309,12,-0.54,0.1541397533763946,0.9,False
1313,13,-0.14,0.4151497357604228,0.9,False
1316,14,-0.06,0.46917204932472106,0.9,False
1317,20,-0.47,0.1911332941867293,0.9,False
1320,11,0.11,0.5939518496770405,0.9,False
1321,11,0.32,0.729301233118027,0.9,False
1323,11,0.37,0.758954785672343,0.9,False
1327,13,-0.03,0.48943041691133293,0.9,False
1328,14,0.71,0.9236641221374046,0.9,True
1329,12,-0.01,0.5026423957721667,0.9,False
1330,12,0.44,0.7994715208455666,0.9,False
1334,12,0.4,0.776570757486788,0.9,False
1340,10,-1.02,0.005284791544333529,0.9,False
1342,13,1.02,0.998825601879037,0.9,True
1348,19,-0.48,0.18584850264239577,0.9,False
1351,10,0.18,0.6447445684086905,0.9,False
1352,10,0.51,0.8426306517909571,0.9,False
1357,13,0.17,0.6362301820317088,0.9,False
1359,12,0.0,0.508220786846741,0.9,False
1364,12,-0.09,0.4459776864357017,0.9,False
1366,10,0.45,0.8082795067527891,0.9,False
1367,13,0.36,0.7524955960070464,0.9,False
1370,17,0.04,0.5381679389312977,0.9,False
1374,11,-0.22,0.3537874339401057,0.9,False
1380,13,0.17,0.6362301820317088,0.9,False
1383,12,-0.01,0.5026423957721667,0.9,False
1385,19,-0.56,0.14533176746917206,0.9,False
1399,12,0.1,0.5842630651790958,0.9,False
1401,10,0.44,0.7994715208455666,0.9,False
1402,14,-0.09,0.4459776864357017,0.9,False
1408,11,0.22,0.6717557251908397,0.9,False
1409,15,-0.01,0.5026423957721667,0.9,False
1410,17,0.35,0.7451556077510276,0.9,False
1419,13,0.38,0.7645331767469172,0.9,False
1422,11,-0.82,0.05079271873165003,0.9,False
1425,21,-0.32,0.2821491485613623,0.9,False
1427,10,-0.03,0.48943041691133293,0.9,False
1428,16,-0.11,0.4339401056958309,0.9,False
1434,10,0.43,0.7938931297709924,0.9,False
1436,19,-0.28,0.31004110393423373,0.9,False
1437,12,0.09,0.5754550792718731,0.9,False
1441,12,0.34,0.7392836171462126,0.9,False
1444,10,0.18,0.6447445684086905,0.9,False
1446,10,0.13,0.6077510275983559,0.9,False
1449,13,-0.2,0.3719906048150323,0.9,False
1450,18,0.21,0.6644157369348209,0.9,False
1456,16,-0.56,0.14533176746917206,0.9,False
1457,17,0.15,0.6200822078684675,0.9,False
1464,13,-0.81,0.05255431591309454,0.9,False
1470,11,-0.16,0.3992953611274222,0.9,False
1471,10,0.35,0.7451556077510276,0.9,False
1473,18,0.85,0.9677040516735174,0.9,True
1480,19,-0.33,0.27510275983558424,0.9,False
1501,13,-0.03,0.48943041691133293,0.9,False
1502,15,-0.08,0.455079271873165,0.9,False
1504,13,-0.13,0.42072812683499705,0.9,False
1505,11,-0.86,0.03992953611274222,0.9,False
1508,10,-0.67,0.10275983558426306,0.9,False
1518,13,0.09,0.5754550792718731,0.9,False
1523,11,0.07,0.5616559013505579,0.9,False
1525,14,-0.94,0.01790957134468585,0.9,False
1529,12,-0.36,0.2571931884908984,0.9,False
1531,20,-0.7,0.08954785672342924,0.9,False
1532,13,0.11,0.5939518496770405,0.9,False
1535,12,-0.23,0.34674104521432764,0.9,False
1536,16,-0.28,0.31004110393423373,0.9,False
1542,12,-0.15,0.40751614797416325,0.9,False
1543,18,-0.04,0.4812096300645919,0.9,False
1545,18,-0.06,0.46917204932472106,0.9,False
1547,10,0.16,0.6271285965942455,0.9,False
1548,12,0.75,0.940986494421609,0.9,True
1553,16,0.58,0.8778625954198473,0.9,False
1562,10,-0.41,0.22812683499706402,0.9,False
1566,12,-0.11,0.4339401056958309,0.9,False
1567,15,-0.64,0.11274221961244862,0.9,False
1569,11,0.06,0.5528479154433353,0.9,False
1573,15,-0.53,0.1608925425719319,0.9,False
1575,10,0.06,0.5528479154433353,0.9,False
1578,11,0.66,0.9048737522019965,0.9,True
1582,18,-0.41,0.22812683499706402,0.9,False
1584,17,-0.81,0.05255431591309454,0.9,False
1585,13,0.06,0.5528479154433353,0.9,False
1587,14,-0.42,0.22019964768056371,0.9,False
1588,12,-1.01,0.0064591896652965355,0.9,False
1591,12,-0.21,0.3637698179682913,0.9,False
1593,10,-0.33,0.27510275983558424,0.9,False
1598,12,0.1,0.5842630651790958,0.9,False
1599,19,-0.64,0.11274221961244862,0.9,False
1600,13,-0.62,0.11802701115678214,0.9,False
1608,14,-0.17,0.39166177334116264,0.9,False
1610,11,0.69,0.9174985320023488,0.9,True
1615,11,0.72,0.9260129183793306,0.9,True
1619,11,-0.51,0.16999412800939517,0.9,False
1627,10,-0.43,0.21315325895478568,0.9,False
1631,12,-0.66,0.10569583088667057,0.9,False
1639,12,0.49,0.830886670581327,0.9,False
1645,13,0.62,0.8954785672342924,0.9,False
1648,10,0.15,0.6200822078684675,0.9,False
1651,14,0.01,0.5167351732237229,0.9,False
1653,11,0.61,0.8910745742806812,0.9,False
1657,12,-0.49,0.18056371109806224,0.9,False
1661,10,-0.83,0.04726952436876101,0.9,False
1664,13,-0.09,0.4459776864357017,0.9,False
1666,15,-0.12,0.4266001174398121,0.9,False
1668,15,0.1,0.5842630651790958,0.9,False
1671,22,0.28,0.7075748678802114,0.9,False
1674,16,0.78,0.9486200822078684,0.9,True
1676,13,-0.16,0.3992953611274222,0.9,False
1678,11,-0.38,0.2457428068115091,0.9,False
1680,12,0.39,0.7704051673517323,0.9,False
1681,13,0.19,0.6517909571344686,0.9,False
1682,14,-0.2,0.3719906048150323,0.9,False
1687,11,-0.24,0.3376394597768644,0.9,False
1692,11,-0.86,0.03992953611274222,0.9,False
1694,16,0.54,0.8599530240751615,0.9,False
1699,15,-1.07,0.002055196711685261,0.9,False
1702,15,-0.2,0.3719906048150323,0.9,False
1704,19,-0.38,0.2457428068115091,0.9,False
1708,11,0.42,0.7889019377568995,0.9,False
1710,10,-1.03,0.004110393423370522,0.9,False
1711,12,-0.53,0.1608925425719319,0.9,False
1714,15,-0.52,0.16588373458602465,0.9,False
1724,15,0.41,0.7821491485613623,0.9,False
1725,11,-0.53,0.1608925425719319,0.9,False
1728,11,-0.56,0.14533176746917206,0.9,False
1734,15,-0.8,0.0546095126247798,0.9,False
1739,12,-0.49,0.18056371109806224,0.9,False
1741,16,0.1,0.5842630651790958,0.9,False
1742,13,1.01,0.9985320023487962,0.9,True
1743,10,0.65,0.9025249559600704,0.9,True
1747,10,-0.64,0.11274221961244862,0.9,False
1748,15,-0.86,0.03992953611274222,0.9,False
1751,18,-0.21,0.3637698179682913,0.9,False
1755,11,-0.32,0.2821491485613623,0.9,False
1763,15,0.19,0.6517909571344686,0.9,False
1764,12,0.31,0.7225484439224897,0.9,False
1765,10,0.32,0.729301233118027,0.9,False
1769,11,0.24,0.683206106870229,0.9,False
1772,17,0.06,0.5528479154433353,0.9,False
1773,12,0.55,0.864063417498532,0.9,False
1774,12,0.35,0.7451556077510276,0.9,False
1775,13,0.46,0.8162066940692895,0.9,False
1781,11,-0.36,0.2571931884908984,0.9,False
1787,12,-0.18,0.38490898414562535,0.9,False
1790,10,-0.21,0.3637698179682913,0.9,False
1791,12,0.1,0.5842630651790958,0.9,False
1801,12,-0.73,0.07897827363476219,0.9,False
1803,14,0.17,0.6362301820317088,0.9,False
1806,16,-0.3,0.2950675278919554,0.9,False
1808,11,-0.05,0.4750440399295361,0.9,False
1809,10,0.42,0.7889019377568995,0.9,False
1814,11,-0.5,0.17557251908396945,0.9,False
1815,10,-0.06,0.46917204932472106,0.9,False
1818,14,-0.8,0.0546095126247798,0.9,False
1826,15,0.16,0.6271285965942455,0.9,False
1834,14,0.53,0.8543746330005872,0.9,False
1837,14,-0.22,0.3537874339401057,0.9,False
1838,12,0.91,0.9809160305343512,0.9,True
1839,15,-0.08,0.455079271873165,0.9,False
1840,10,-0.66,0.10569583088667057,0.9,False
1841,13,-0.24,0.3376394597768644,0.9,False
1844,12,-0.15,0.40751614797416325,0.9,False
1847,15,-0.92,0.021432765707574866,0.9,False
1848,14,-0.54,0.1541397533763946,0.9,False
1850,18,-0.18,0.38490898414562535,0.9,False
1858,10,-0.57,0.14004697592483853,0.9,False
1859,17,0.09,0.5754550792718731,0.9,False
1861,13,0.38,0.7645331767469172,0.9,False
1862,13,0.99,0.9950088079859072,0.9,True
1868,11,0.08,0.5684086905460951,0.9,False
1872,12,-0.52,0.16588373458602465,0.9,False
1873,20,-0.31,0.28978273634762186,0.9,False
1874,10,-0.06,0.46917204932472106,0.9,False
1876,12,-0.07,0.46271285965942455,0.9,False
1877,13,0.24,0.683206106870229,0.9,False
1878,14,0.11,0.5939518496770405,0.9,False
1880,11,0.7,0.9210217263652378,0.9,True
1882,13,0.94,0.9867880211391662,0.9,True
1883,10,0.11,0.5939518496770405,0.9,False
1887,13,0.0,0.508220786846741,0.9,False
